Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,178.075,0,27807.5,27807.5
1,178.23,0,27831.704197669525,27823.0
2,178.315,8,27844.977467359262,27831.5
3,178.31,8,27844.196686789273,27831.075
4,178.242,2,27833.578071037486,27826.111
5,178.07,7,27806.719219430015,27812.179
6,178.14,3,27817.6501474098,27817.289
7,178.17,7,27822.334830829706,27819.839
8,177.91,2,27781.73424119051,27799.819
9,177.925,10,27784.076582900467,27801.079
10,177.84,1,27770.80331321073,27795.724
11,177.871,0,27775.644152744633,27797.801
12,177.875,3,27776.26877720062,27798.069
13,177.955,2,27788.761266320376,27804.469
14,177.78,8,27761.433946370915,27789.244
15,178.045,8,27802.815316580094,27808.854
16,178.1,7,27811.403902849925,27812.319
17,178.13,2,27816.08858626983,27814.029
18,178.13,4,27816.08858626983,27814.029
19,178.175,5,27823.115611399695,27817.809
20,178.22,10,27830.142636529556,27822.399
21,178.135,3,27816.869366839812,27815.854
22,178.15,9,27819.211708549767,27817.174
23,178.08,0,27808.28078056999,27812.204
24,178.38,10,27855.127614769062,27833.504
25,178.4,3,27858.250737049,27834.583999999995
26,178.465,0,27868.4008844588,27839.069
27,178.715,10,27907.439912958027,27856.319
28,178.821,9,27923.9924610417,27861.830999999995
29,178.82,9,27923.836304927696,27861.788999999997
30,178.92,10,27939.45191632739,27865.188999999995
31,178.97,7,27947.25972202724,27866.489
32,178.96,9,27945.69816088727,27866.249
33,179.15,2,27975.367822546683,27870.048999999995
34,179.022,8,27955.379839955076,27865.824999999997
35,179.0,1,27951.944405447146,27865.186999999994
36,179.07,7,27962.875333426928,27867.636999999995
37,178.911,1,27938.046511301418,27862.54899999999
38,179.14,10,27973.80626140671,27871.250999999997
39,179.19,9,27981.61406710656,27872.700999999997
40,179.181,2,27980.208662080586,27872.484999999997
41,179.135,9,27973.025480836728,27870.782999999992
42,179.17,8,27978.49094482662,27871.83299999999
43,179.01,4,27953.505966587116,27867.672999999995
44,178.925,0,27940.232696897376,27863.338
45,179.015,6,27954.286747157097,27867.927999999996
46,178.95,5,27944.136599747297,27864.74299999999
47,178.895,3,27935.54801347747,27860.61799999999
48,178.975,6,27948.04050259722,27867.57799999999
49,179.08,2,27964.4368945669,27876.29299999999
50,179.131,2,27972.40085638074,27880.882999999994
51,179.03,1,27956.629088867052,27871.18699999999
52,178.98,10,27948.821283167203,27866.28699999999
53,179.02,10,27955.067527727082,27869.247
54,178.92,7,27939.45191632739,27863.64699999999
55,178.89,3,27934.767232907485,27862.11699999999
56,179.06,4,27961.313772286958,27873.336999999992
57,179.095,9,27966.779236276852,27876.24199999999
58,179.13,8,27972.244700266747,27878.586999999992
59,179.175,9,27979.271725396608,27881.151999999995
60,179.325,7,28002.695142496137,27888.05199999999
61,179.38,0,28011.283728765968,27890.36199999999
62,179.54,6,28036.268707005474,27897.08199999999
63,179.475,5,28026.118559595674,27894.481999999996
64,179.485,7,28027.68012073565,27895.162
65,179.445,2,28021.433876175768,27892.681999999997
66,179.32,1,28001.914361926156,27883.806999999997
67,179.26,10,27992.544995086337,27879.306999999997
68,179.21,10,27984.737189386495,27876.456999999995
69,179.28,9,27995.668117366284,27879.466999999997
70,179.374,9,28010.346792081993,27882.756999999998
71,179.542,2,28036.581019233472,27887.460999999992
72,179.608,1,28046.88732275727,27890.10099999999
73,179.505,0,28030.803243015587,27885.46599999999
74,179.45,7,28022.21465674575,27882.99099999999
75,179.595,2,28044.857293275305,27888.93599999999
76,179.48,2,28026.899340165663,27882.95599999999
77,179.449,10,28022.05850063176,27881.033999999992
78,179.429,8,28018.935378351824,27880.093999999997
79,179.475,5,28026.118559595674,27881.933999999997
80,179.46,4,28023.776217885727,27880.914
