date,open,high,low,close,volume,smawindow,emawindow,sma100,ema100,sma200,ema200,vwap,rsi,macd,macd_signal,macd_hist,bbands_upper,bbands_middle,bbands_lower,wma,cci,aroon_up,aroon_down,obv,stoch_slowk,stoch_slowd,stochf_fastk,stochf_fastd,stochrsi_fastk,stochrsi_fastd
2020-01-02 09:30:00,72.345,72.373,72.114,72.225,3141608.0,72.3325,72.3268,72.3482,72.3395,72.2922,72.2885,72.2622,45.8339,-0.0214,-0.0162,-0.0052,72.4651,72.3706,72.2761,72.3521,-151.4889,74.2188,100.0,-3122660.0,62.7744,58.1291,39.5018,62.7744,0.0,66.6667
2020-01-02 09:31:00,72.213,72.278,72.093,72.17,804188.0,72.3321,72.3244,72.3469,72.3361,72.2921,72.2873,72.2508,43.7538,-0.0317,-0.0193,-0.0124,72.475,72.3676,72.2601,72.3496,-244.0295,73.4375,100.0,-3926848.0,45.6561,55.4003,25.4967,45.6561,0.0,33.3333
2020-01-02 09:32:00,72.162,72.254,72.065,72.212,689044.0,72.3319,72.3227,72.346,72.3336,72.2923,72.2866,72.2429,45.6687,-0.0361,-0.0227,-0.0134,72.4796,72.365,72.2504,72.3477,-246.5914,72.6562,100.0,-3237804.0,36.5146,48.315,44.5455,36.5146,29.5054,9.8351
2020-01-02 09:33:00,72.216,72.496,72.19,72.419,1181268.0,72.3335,72.3242,72.3471,72.3353,72.2935,72.2879,72.2623,53.5881,-0.0226,-0.0226,0.0001,72.4813,72.3659,72.2504,72.3491,62.3314,100.0,99.2188,-2056536.0,50.7256,44.2988,82.1346,50.7256,100.0,43.1685
2020-01-02 09:34:00,72.416,72.526,72.292,72.497,780728.0,72.3355,72.3268,72.3489,72.3385,72.295,72.29,72.2786,56.0434,-0.0055,-0.0192,0.0137,72.4882,72.368,72.2478,72.3516,173.1057,100.0,98.4375,-1275808.0,73.4631,53.5678,93.7093,73.4631,100.0,76.5018
2020-01-02 09:35:00,72.514,72.652,72.483,72.597,1181684.0,72.338,72.331,72.3518,72.3437,72.2969,72.293,72.3154,58.8795,0.0159,-0.0122,0.0281,72.5058,72.3722,72.2387,72.3557,379.6042,100.0,97.6562,-94124.0,88.8247,71.0045,90.6303,88.8247,100.0,100.0
2020-01-02 09:36:00,72.604,72.75,72.566,72.734,816276.0,72.3415,72.3373,72.3559,72.3514,72.2995,72.2974,72.3443,62.2711,0.0434,-0.0011,0.0445,72.541,72.3787,72.2164,72.3618,508.0334,100.0,96.875,722152.0,94.0013,85.4297,97.6642,94.0013,100.0,100.0
2020-01-02 09:37:00,72.732,72.776,72.656,72.695,894612.0,72.3446,72.3428,72.3598,72.3582,72.3017,72.3014,72.3731,60.8189,0.0614,0.0114,0.05,72.5656,72.3849,72.2043,72.3673,507.906,100.0,96.0938,-172460.0,91.4907,91.4389,86.1775,91.4907,79.6397,93.2132
2020-01-02 09:38:00,72.693,72.723,72.605,72.678,678856.0,72.3476,72.348,72.3636,72.3645,72.3037,72.3051,72.3898,60.1966,0.0734,0.0238,0.0496,72.5856,72.391,72.1964,72.3725,424.7744,99.2188,95.3125,-851316.0,87.8646,91.1189,79.7521,87.8646,57.94,79.1932
2020-01-02 09:39:00,72.684,72.772,72.566,72.595,714172.0,72.3502,72.3518,72.3663,72.3691,72.3052,72.308,72.4042,57.2864,0.0754,0.0341,0.0412,72.5962,72.3956,72.1949,72.3763,371.3406,98.4375,94.5312,-1565488.0,68.0516,82.469,38.2253,68.0516,0.0,45.8599
2020-01-02 09:40:00,72.597,72.718,72.573,72.69,669728.0,72.3534,72.3571,72.3701,72.3754,72.3073,72.3118,72.417,59.5619,0.0836,0.044,0.0396,72.6151,72.4015,72.1879,72.3816,370.3131,97.6562,93.75,-895760.0,59.0083,71.6415,59.0476,59.0083,38.9914,32.3105
2020-01-02 09:41:00,72.692,72.715,72.563,72.595,499160.0,72.3561,72.3608,72.373,72.3798,72.309,72.3146,72.4244,56.5008,0.0815,0.0515,0.03,72.6244,72.4057,72.1869,72.3853,312.5519,96.875,92.9688,-1394920.0,37.4321,54.8307,15.0235,37.4321,0.0,12.9971
2020-01-02 09:42:00,72.595,72.61,72.475,72.499,747296.0,72.3576,72.3629,72.3748,72.3821,72.3101,72.3165,72.4297,53.6664,0.0713,0.0555,0.0158,72.6275,72.4075,72.1874,72.3875,195.4327,96.0938,92.1875,-2142216.0,27.384,41.2748,8.0808,27.384,0.0,12.9971
