Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,124.53,9,22453.0,22453.0
1,124.325,8,22416.03810326829,22436.6
2,124.33,0,22416.939612944672,22436.940000000002
3,124.36,9,22422.348671002972,22438.98
4,124.17,7,22388.09130330041,22428.53
5,124.275,10,22407.023006504456,22433.78
6,124.16,9,22386.28828394764,22429.410000000003
7,124.355,9,22421.44716132659,22435.455
8,124.38,10,22425.9547097085,22436.08
9,124.315,10,22414.235083915522,22434.845
10,124.468,8,22441.82128001285,22437.14
11,124.38,3,22425.9547097085,22435.996
12,124.24,2,22400.712438769773,22430.676
13,124.325,1,22416.03810326829,22435.096
14,124.27,8,22406.121496828073,22431.906
15,124.27,7,22406.121496828073,22431.906
16,124.32,10,22415.136593591906,22434.155999999995
17,124.31,7,22413.33357423914,22433.816
18,124.215,8,22396.20489038786,22430.871
19,124.38,4,22425.9547097085,22435.325999999997
20,124.45,7,22438.575845177867,22439.316
21,124.48,10,22443.984903236167,22440.876
22,124.575,0,22461.11358708745,22444.581
23,124.55,10,22456.606038705533,22443.606
24,124.6,2,22465.621135469362,22445.106
25,124.55,4,22456.606038705533,22442.856
26,124.659,10,22476.258949650688,22450.703999999998
27,124.785,0,22498.976993495544,22457.507999999998
28,124.67,0,22478.24227093873,22451.298
29,124.66,3,22476.43925158596,22450.757999999998
30,124.59,2,22463.8181161166,22445.717999999997
31,124.72,10,22487.25736770256,22456.377999999997
32,124.88,8,22516.105677346823,22466.297999999995
33,124.796,8,22500.960314783588,22461.845999999998
34,124.785,9,22498.976993495544,22461.339999999997
35,124.88,0,22516.105677346823,22464.854999999996
36,124.96,1,22530.529832168955,22467.814999999995
37,124.93,5,22525.120774110655,22466.494999999995
38,125.09,7,22553.96908375492,22478.814999999995
39,125.07,4,22550.363045049384,22477.414999999994
40,125.09,4,22553.96908375492,22479.234999999993
41,125.16,7,22566.590219224283,22486.79499999999
42,125.18,2,22570.196257929816,22488.754999999994
43,125.289,1,22589.84916887497,22500.308999999994
44,125.21,0,22575.605315988116,22491.69799999999
45,125.1,1,22555.772103107684,22479.70799999999
46,125.155,9,22565.6887095479,22485.867999999995
47,124.99,10,22535.938890227255,22471.017999999993
48,125.12,4,22559.378141813217,22479.857999999993
49,125.09,9,22553.96908375492,22477.157999999996
50,125.15,9,22564.787199871516,22481.477999999996
51,125.125,1,22560.2796514896,22480.02799999999
52,125.085,5,22553.067574078534,22477.467999999993
