Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,333.812,5,43381.2,43381.200000000004
1,333.72,9,43369.24395767678,43371.356
2,333.55,0,43347.15127077517,43356.736000000004
3,334.06,7,43413.429331479994,43400.596000000005
4,333.98,1,43403.03277293806,43394.356
5,334.08,3,43416.028471115475,43402.356
6,334.1,6,43418.62761075096,43404.096000000005
7,334.23,0,43435.522018381605,43414.886
8,334.38,1,43455.01556564773,43427.336
9,334.46,8,43465.41212418966,43434.136
10,334.76,2,43504.39921872191,43456.036
11,334.74,6,43501.80007908643,43454.476
12,334.65,2,43490.10395072675,43447.726
13,334.57,9,43479.70739218482,43441.326
14,334.395,0,43456.96492037434,43430.126000000004
15,334.53,1,43474.509112913845,43438.766
16,334.535,9,43475.15889782272,43439.101
17,334.69,0,43495.30222999772,43447.471000000005
18,334.79,8,43508.29792817514,43452.871
19,334.75,2,43503.09964890417,43451.031
20,334.777,10,43506.60848741207,43452.489
21,334.73,6,43500.50050926869,43450.562000000005
22,334.86,8,43517.39491689933,43455.632
23,334.785,0,43507.64814326627,43453.082
24,334.61,3,43484.90567145579,43447.132
25,334.69,9,43495.30222999772,43450.971999999994
26,334.765,0,43505.04900363078,43453.897
27,334.96,10,43530.39061507674,43461.50199999999
28,334.895,2,43521.943411261425,43459.551999999996
29,334.945,2,43528.44126035013,43461.50199999999
30,335.05,1,43542.086743436426,43466.542
31,334.875,9,43519.34427162594,43457.441999999995
32,335.08,8,43545.98545288965,43466.051999999996
33,335.04,7,43540.78717361868,43464.611999999994
34,335.25,0,43568.07813979126,43471.541999999994
35,335.08,9,43545.98545288965,43465.93199999999
36,334.99,5,43534.28932452997,43463.50199999999
37,334.645,10,43489.45416581788,43445.562
38,334.17,2,43427.72459947515,43427.037
39,334.27,7,43440.720297652566,43431.837
40,334.25,2,43438.121158017086,43430.957
41,334.608,0,43484.64575749224,43449.573000000004
42,334.208,9,43432.66296478257,43428.773
43,334.27,3,43440.720297652566,43431.37700000001
44,334.41,9,43458.91427510096,43439.077000000005
45,334.53,2,43474.509112913845,43444.357
46,334.478,2,43467.751349861595,43441.653000000006
47,334.61,10,43484.90567145579,43449.441000000006
48,334.71,1,43497.9013696332,43453.941000000006
