tuner/trial_id,dense_1_units,learning_rate,tuner/round,time,pool_1_size,conv_1_kernel,conv_1_filter,trial_id,dropout_1,dropout_2,tuner/epochs,tuner/initial_epoch,tuner/bracket,row_label,auc,accuracy,dense_2_units
,320,0.01,0,1687474579.018759,4,15,128,0002,0.25,0.15000000000000002,2,0,2,0002,0.5059220194816589,0.314899206161499,256
,352,0.01,0,1687477144.1566133,3,15,96,0005,0.4,0.1,2,0,2,0005,0.5041667819023132,0.32166343927383423,128
,160,0.0001,0,1687476799.3946984,3,15,32,0004,0.25,0.30000000000000004,2,0,2,0004,0.7951453328132629,0.6583623290061951,160
,512,0.0001,0,1687476607.8610027,2,11,256,0003,0.2,0.05,2,0,2,0003,0.8055700659751892,0.6675798296928406,128
,288,0.01,0,1687496559.1126535,5,11,32,0021,0.35000000000000003,0.35000000000000003,4,0,1,0021,0.500342845916748,0.3081194758415222,352
,352,0.001,0,1687504658.5964882,5,3,128,0026,0.1,0.4,10,0,0,0026,0.7996383309364319,0.6598899364471436,288
,480,0.01,0,1687493823.7741847,4,9,224,0019,0.2,0.05,4,0,1,0019,0.5071043372154236,0.3279051184654236,512
,352,0.0001,0,1687479246.0939484,4,15,256,0010,0.25,0.4,2,0,2,0010,0.7855666279792786,0.6519843339920044,320
0013,352,0.0001,2,1687490906.5789683,4,15,256,0017,0.25,0.4,10,4,2,0017,0.8177897334098816,0.675287127494812,320
,512,0.0001,0,1687508743.1741369,4,13,128,0028,0.1,0.4,10,0,0,0028,0.8150714039802551,0.6691558957099915,416
0012,512,0.0001,2,1687489065.3957555,2,11,256,0016,0.2,0.05,10,4,2,0016,0.8256072998046875,0.6821818351745605,128
,160,0.01,0,1687509507.5550375,4,5,96,0029,0.25,0.15000000000000002,10,0,0,0029,0.7219390869140625,0.6122599840164185,160
,352,0.01,0,1687480037.5510848,4,3,224,0011,0.15000000000000002,0.4,2,0,2,0011,0.5638522505760193,0.3674996495246887,96
,192,0.01,0,1687505996.4174433,4,9,128,0027,0.30000000000000004,0.45,10,0,0,0027,0.5406572222709656,0.3410395681858063,320
,160,0.001,0,1687492034.7382476,2,11,224,0018,0.0,0.1,4,0,1,0018,0.8050370216369629,0.6650380492210388,32
,352,0.0001,0,1687496091.1670358,2,9,224,0020,0.45,0.0,4,0,1,0020,0.8131977915763855,0.674748420715332,224
,128,0.01,0,1687477391.9162028,5,7,96,0006,0.35000000000000003,0.4,2,0,2,0006,0.5595977306365967,0.3939720094203949,192
,352,0.0001,0,1687474168.1000953,5,3,160,0001,0.15000000000000002,0.30000000000000004,2,0,2,0001,0.800274670124054,0.6616836786270142,384
,480,0.0001,0,1687478368.1359086,4,13,256,0008,0.35000000000000003,0.35000000000000003,2,0,2,0008,0.7917612195014954,0.6576711535453796,64
,32,0.001,0,1687478590.1767855,5,13,64,0009,0.0,0.35000000000000003,2,0,2,0009,0.7850602269172668,0.650722861289978,32
,384,0.01,0,1687473552.0733216,4,3,256,0000,0.1,0.35000000000000003,2,0,2,0000,0.7304291129112244,0.5772987604141235,480
,32,0.01,0,1687477664.1537323,3,15,224,0007,0.35000000000000003,0.2,2,0,2,0007,0.5004163384437561,0.31382954120635986,448
0018,160,0.001,1,1687502629.3299134,2,11,224,0025,0.0,0.1,10,4,1,0025,0.8091220855712891,0.6711363196372986,32
,32,0.0001,0,1687496950.7776852,5,15,160,0022,0.30000000000000004,0.1,4,0,1,0022,0.8001205325126648,0.667000412940979,224
0004,160,0.0001,1,1687482785.5400665,3,15,32,0014,0.25,0.30000000000000004,4,2,2,0014,0.799889087677002,0.6619750261306763,160
0010,352,0.0001,1,1687482613.0421946,4,15,256,0013,0.25,0.4,4,2,2,0013,0.8055951595306396,0.6679027676582336,320
0003,512,0.0001,1,1687482012.984478,2,11,256,0012,0.2,0.05,4,2,2,0012,0.8136326670646667,0.6742374300956726,128
0001,352,0.0001,1,1687483404.963151,5,3,160,0015,0.15000000000000002,0.30000000000000004,4,2,2,0015,0.8096281886100769,0.6653358340263367,384
,256,0.0001,0,1687497329.2820258,4,9,32,0023,0.45,0.1,4,0,1,0023,0.7982179522514343,0.6622695922851562,192
0020,352,0.0001,1,1687500974.4294155,2,9,224,0024,0.45,0.0,10,4,1,0024,0.8309500813484192,0.685075581073761,224
