tuner/round,dense_2_units,tuner/trial_id,lstm_1_units,auc,learning_rate,pool_1_size,dense_1_units,tuner/bracket,time,row_label,trial_id,dropout_1,tuner/initial_epoch,tuner/epochs,dropout_2,accuracy
0,32,,96,0.8159093856811523,0.0001,2,288,2,1687513881.5128775,0002,0002,0.2,0,2,0.35000000000000003,0.676154613494873
0,256,,160,0.7614335417747498,0.01,2,256,2,1687521578.1985488,0005,0005,0.35000000000000003,0,2,0.2,0.6051282286643982
0,160,,64,0.8142569661140442,0.0001,2,320,2,1687519434.2009556,0004,0004,0.25,0,2,0.35000000000000003,0.6737284660339355
0,256,,256,0.8064079284667969,0.001,2,480,2,1687518478.8003135,0003,0003,0.45,0,2,0.05,0.6662265658378601
0,384,,128,0.7643510699272156,0.01,4,224,1,1687564997.9397902,0021,0021,0.2,0,4,0.35000000000000003,0.6111735105514526
0,96,,256,0.8179965019226074,0.001,2,160,0,1687608564.8386364,0026,0026,0.1,0,10,0.05,0.6750242114067078
0,256,,256,0.8149294853210449,0.0001,4,384,1,1687556967.3716807,0019,0019,0.25,0,4,0.25,0.6705504655838013
0,384,,32,0.8088801503181458,0.001,5,512,2,1687528606.4828923,0010,0010,0.0,0,2,0.35000000000000003,0.6703495979309082
2,160,0014,64,0.8466701507568359,0.0001,2,320,2,1687546526.128348,0017,0017,0.25,4,10,0.35000000000000003,0.6923255920410156
0,512,,224,0.5226237773895264,0.01,2,416,0,1687643403.6339083,0028,0028,0.25,0,10,0.35000000000000003,0.3261849880218506
2,32,0012,96,0.850012481212616,0.0001,2,288,2,1687543033.8297243,0016,0016,0.2,4,10,0.35000000000000003,0.6959983706474304
0,160,,192,0.8502209186553955,0.0001,2,416,0,1687661070.0528371,0029,0029,0.25,0,10,0.45,0.6942846775054932
0,256,,32,0.7781545519828796,0.01,3,512,2,1687529430.6692202,0011,0011,0.1,0,2,0.1,0.6265829205513
0,320,,256,0.8332675099372864,0.001,2,320,0,1687624764.363002,0027,0027,0.1,0,10,0.30000000000000004,0.6800993084907532
0,32,,160,0.7629788517951965,0.01,5,192,1,1687549832.3513286,0018,0018,0.30000000000000004,0,4,0.25,0.6295342445373535
0,256,,192,0.7283873558044434,0.01,2,160,1,1687561715.7603583,0020,0020,0.4,0,4,0.30000000000000004,0.578896164894104
0,448,,128,0.8053123354911804,0.001,5,128,2,1687522957.7070417,0006,0006,0.15000000000000002,0,2,0.4,0.667577862739563
0,160,,160,0.8103330135345459,0.001,2,96,2,1687512538.9144042,0001,0001,0.05,0,2,0.30000000000000004,0.6690860986709595
0,384,,256,0.7743571400642395,0.01,5,352,2,1687527081.1750715,0008,0008,0.25,0,2,0.05,0.6249157786369324
0,448,,32,0.8086755871772766,0.001,5,32,2,1687527763.9108095,0009,0009,0.0,0,2,0.30000000000000004,0.6676095128059387
0,96,,96,0.7551029324531555,0.01,4,320,2,1687510848.9361477,0000,0000,0.1,0,2,0.15000000000000002,0.6258963346481323
0,256,,32,0.7988274693489075,0.0001,2,128,2,1687523685.521156,0007,0007,0.4,0,2,0.2,0.6595759987831116
1,256,0019,256,0.8396123051643372,0.0001,4,384,1,1687592458.9686704,0025,0025,0.25,4,10,0.25,0.6848682761192322
0,512,,224,0.8064237236976624,0.001,2,64,1,1687570052.0648282,0022,0022,0.15000000000000002,0,4,0.30000000000000004,0.6633566617965698
1,160,0004,64,0.8284485340118408,0.0001,2,320,2,1687533407.4781952,0014,0014,0.25,2,4,0.35000000000000003,0.6815869212150574
1,160,0001,160,0.813582181930542,0.001,2,96,2,1687532446.0264118,0013,0013,0.05,2,4,0.30000000000000004,0.6687941551208496
1,32,0002,96,0.8318085670471191,0.0001,2,288,2,1687530767.6443133,0012,0012,0.2,2,4,0.35000000000000003,0.686424970626831
1,256,0003,256,0.8124682307243347,0.001,2,480,2,1687538031.6267633,0015,0015,0.45,2,4,0.05,0.6712080240249634
0,416,,224,0.8132357001304626,0.0001,4,256,1,1687575516.836252,0023,0023,0.35000000000000003,0,4,0.25,0.6705304384231567
1,512,0022,224,0.8144852519035339,0.001,2,64,1,1687582425.010076,0024,0024,0.15000000000000002,4,10,0.30000000000000004,0.6712893843650818
