Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,39.54,9,13954.0,13954.0
1,39.57,2,13964.587253414264,13956.4
2,39.575,2,13966.351795649976,13956.935000000001
3,39.565,6,13962.822711178553,13955.625
4,39.525,0,13948.706373292867,13950.625
5,39.515,3,13945.177288821447,13949.375
6,39.525,5,13948.706373292867,13950.965
7,39.53,9,13950.470915528578,13952.0
8,39.535,6,13952.235457764287,13952.83
9,39.5,1,13939.883662114315,13947.3
10,39.485,2,13934.590035407182,13944.795
11,39.495,9,13938.119119878604,13946.645
12,39.495,10,13938.119119878604,13946.644999999999
13,39.52,3,13946.941831057158,13949.419999999998
14,39.55,4,13957.52908447142,13953.829999999998
15,39.555,1,13959.293626707133,13954.769999999999
16,39.575,3,13966.351795649976,13958.689999999999
17,39.57,9,13964.587253414264,13957.594999999998
18,39.571,7,13964.940161861405,13957.770999999997
19,39.527,3,13949.412190187153,13950.775
20,39.54,10,13954.0,13953.218999999997
21,39.605,5,13976.939049064238,13962.383999999998
22,39.6,7,13975.174506828529,13961.418999999998
23,39.605,3,13976.939049064238,13962.288999999997
24,39.625,9,13983.997218007082,13966.288999999997
25,39.665,7,13998.113555892767,13972.688999999997
26,39.675,7,14001.642640364187,13974.128999999997
27,39.675,9,14001.642640364187,13974.128999999997
28,39.673,1,14000.936823469905,13973.920999999997
29,39.685,4,14005.17172483561,13975.312999999995
30,39.73,7,14021.052604957005,13982.647999999996
31,39.715,8,14015.758978249874,13980.442999999996
32,39.715,7,14015.758978249874,13980.442999999996
33,39.705,9,14012.22989377845,13979.312999999995
34,39.74,9,14024.581689428427,13982.497999999996
35,39.755,8,14029.87531613556,13983.592999999995
36,39.785,6,14040.462569549822,13985.482999999995
37,39.795,1,14043.991654021245,13986.082999999995
38,39.745,0,14026.346231664136,13982.382999999994
39,39.742,3,14025.287506322711,13982.160999999995
40,39.725,0,14019.288062721296,13980.205999999995
41,39.71,1,14013.994436014164,13978.480999999996
42,39.775,8,14036.933485078402,13986.670999999995
43,39.76,6,14031.639858371269,13985.050999999996
44,39.724,3,14018.935154274152,13981.342999999995
45,39.715,6,14015.758978249874,13980.082999999995
46,39.754,0,14029.522407688417,13985.269999999993
47,39.735,2,14022.817147192716,13982.742999999995
48,39.73,5,14021.052604957005,13981.972999999994
49,39.705,0,14012.22989377845,13976.897999999994
50,39.68,10,14003.407182599898,13971.822999999995
51,39.71,10,14013.994436014164,13976.412999999995
52,39.71,7,14013.994436014164,13976.412999999997
53,39.695,2,14008.70080930703,13974.852999999996
54,39.685,5,14005.17172483561,13973.572999999995
55,39.665,7,13998.113555892767,13969.892999999993
56,39.662,8,13997.05483055134,13969.394999999993
57,39.655,1,13994.584471421345,13968.400999999994
58,39.67,10,13999.878098128478,13970.680999999993
59,39.68,1,14003.407182599898,13971.820999999993
60,39.685,9,14005.17172483561,13972.445999999994
61,39.705,8,14012.22989377845,13974.445999999994
62,39.695,9,14008.70080930703,13973.595999999994
63,39.645,10,13991.055386949925,13970.195999999996
64,39.635,10,13987.526302478502,13969.685999999996
65,39.625,6,13983.997218007082,13969.295999999997
66,39.605,0,13976.939049064238,13968.535999999996
67,39.635,0,13987.526302478502,13969.675999999996
68,39.655,4,13994.584471421345,13970.435999999996
69,39.635,1,13987.526302478502,13968.435999999996
70,39.68,4,14003.407182599898,13973.475999999995
71,39.7,6,14010.465351542742,13976.675999999996
72,39.665,8,13998.113555892767,13971.355999999996
73,39.651,0,13993.172837632777,13969.535999999996
74,39.68,10,14003.407182599898,13973.305999999995
75,39.61,9,13978.703591299949,13966.445999999996
76,39.61,9,13978.703591299949,13966.445999999996
77,39.61,7,13978.703591299949,13966.445999999996
78,39.61,7,13978.703591299949,13966.445999999996
79,39.6,9,13975.174506828529,13965.915999999994
80,39.61,5,13978.703591299949,13966.345999999994
81,39.61,8,13978.703591299949,13966.345999999994
82,39.6,8,13975.174506828529,13965.325999999995
83,39.605,7,13976.939049064238,13965.760999999995
84,39.6,9,13975.174506828529,13965.365999999995
85,39.56,9,13961.058168942844,13962.805999999995
86,39.555,7,13959.293626707133,13962.545999999995
87,39.585,9,13969.880880121396,13963.955999999995
88,39.605,1,13976.939049064238,13964.715999999993
89,39.615,8,13980.46813353566,13965.245999999992
90,39.618,6,13981.526858877087,13965.383999999993
91,39.635,2,13987.526302478502,13966.131999999994
92,39.648,2,13992.114112291352,13967.093999999994
93,39.63,4,13985.761760242793,13965.275999999994
94,39.615,5,13980.46813353566,13963.010999999995
95,39.595,3,13973.409964592816,13958.990999999993
96,39.63,2,13985.761760242793,13966.795999999993
97,39.635,7,13987.526302478502,13967.970999999994
98,39.615,3,13980.46813353566,13963.730999999992
99,39.645,2,13991.055386949925,13970.720999999992
100,39.645,5,13991.055386949925,13970.720999999994
101,39.648,9,13992.114112291352,13971.533999999992
102,39.625,3,13983.997218007082,13966.542999999992
103,39.6,8,13975.174506828529,13960.617999999993
104,39.624,5,13983.64430955994,13965.465999999993
105,39.623,5,13983.291401112796,13965.226999999992
106,39.615,10,13980.46813353566,13963.090999999993
107,39.61,4,13978.703591299949,13962.085999999992
108,39.625,8,13983.997218007082,13965.550999999992
109,39.605,9,13976.939049064238,13961.610999999994
110,39.595,3,13973.409964592816,13960.030999999994
