dense_2_units,trial_id,tuner/trial_id,dense_1_units,auc,learning_rate,accuracy,dropout_2,tuner/bracket,time,dropout_1,row_label,tuner/epochs,tuner/round,tuner/initial_epoch
96,0002,,352,0.7672345042228699,0.0001,0.6211702823638916,0.15000000000000002,2,1687461741.7729816,0.2,0002,2,0,0
288,0005,,480,0.794417142868042,0.0001,0.6595818400382996,0.1,2,1687462623.3227677,0.2,0005,2,0,0
192,0004,,128,0.7806636691093445,0.001,0.6429871320724487,0.30000000000000004,2,1687462346.3865995,0.1,0004,2,0,0
128,0003,,32,0.6636590361595154,0.01,0.6255353689193726,0.25,2,1687461767.2606103,0.1,0003,2,0,0
480,0021,,288,0.7831616401672363,0.001,0.6514533758163452,0.45,1,1687468318.7616475,0.15000000000000002,0021,4,0,0
192,0026,,224,0.5786115527153015,0.01,0.3904400169849396,0.1,0,1687470832.1854944,0.0,0026,10,0,0
320,0019,,448,0.7802117466926575,0.001,0.6494477391242981,0.45,1,1687467404.1079733,0.2,0019,4,0,0
96,0010,,512,0.7961440086364746,0.0001,0.66169273853302,0.15000000000000002,2,1687463618.9919748,0.1,0010,2,0,0
288,0017,0015,480,0.804347813129425,0.0001,0.6684776544570923,0.1,2,1687466496.5973625,0.2,0017,10,2,4
448,0028,,64,0.5723044276237488,0.01,0.4119257628917694,0.4,0,1687471917.9447129,0.2,0028,10,0,0
96,0016,0014,512,0.8120991587638855,0.0001,0.6738286018371582,0.15000000000000002,2,1687465536.5439925,0.1,0016,10,2,4
320,0029,,128,0.5951854586601257,0.01,0.43723416328430176,0.35000000000000003,0,1687472453.6887455,0.15000000000000002,0029,10,0,0
320,0011,,128,0.788569986820221,0.001,0.6517317891120911,0.25,2,1687463801.1412017,0.05,0011,2,0,0
288,0027,,288,0.5314509272575378,0.01,0.38590362668037415,0.25,0,1687471468.0505037,0.45,0027,10,0,0
224,0018,,256,0.7872233390808105,0.001,0.654240608215332,0.2,1,1687466893.0779066,0.2,0018,4,0,0
32,0020,,384,0.7417199611663818,0.01,0.5911340117454529,0.1,1,1687467768.7321904,0.2,0020,4,0,0
352,0006,,160,0.5303440093994141,0.01,0.3515256643295288,0.05,2,1687462785.9330773,0.35000000000000003,0006,2,0,0
384,0001,,416,0.7346687912940979,0.0001,0.5860852003097534,0.0,2,1687461703.96475,0.35000000000000003,0001,2,0,0
512,0008,,352,0.7902894020080566,0.0001,0.657910168170929,0.2,2,1687463229.243639,0.35000000000000003,0008,2,0,0
416,0009,,160,0.7940664291381836,0.0001,0.6602529883384705,0.35000000000000003,2,1687463396.87492,0.15000000000000002,0009,2,0,0
480,0000,,32,0.6991885304450989,0.001,0.5784462094306946,0.1,2,1687461654.4723413,0.4,0000,2,0,0
352,0007,,224,0.5917389988899231,0.01,0.4485076665878296,0.05,2,1687462962.612641,0.30000000000000004,0007,2,0,0
480,0025,0021,288,0.7872976660728455,0.001,0.6466670036315918,0.45,1,1687470277.324241,0.15000000000000002,0025,10,1,4
96,0022,,256,0.5125795006752014,0.01,0.32027533650398254,0.2,1,1687468655.0548203,0.2,0022,4,0,0
96,0014,0010,512,0.8035547137260437,0.0001,0.6683601140975952,0.15000000000000002,2,1687464520.984497,0.1,0014,4,1,2
384,0013,0001,416,0.7926013469696045,0.0001,0.6587744355201721,0.0,2,1687464288.547016,0.35000000000000003,0013,4,1,2
96,0012,0002,352,0.7952777743339539,0.0001,0.6613155007362366,0.15000000000000002,2,1687464018.9877446,0.2,0012,4,1,2
288,0015,0005,480,0.8019388318061829,0.0001,0.6673149466514587,0.1,2,1687464840.5430238,0.2,0015,4,1,2
64,0023,,128,0.771050751209259,0.001,0.637729823589325,0.30000000000000004,1,1687468932.2336311,0.4,0023,4,0,0
224,0024,0018,256,0.7921311855316162,0.001,0.6547483205795288,0.2,1,1687469471.842555,0.2,0024,10,1,4
