Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,423.989,10,52398.899999999994,52398.899999999994
1,423.934,4,52392.10279653482,52394.775
2,423.982,6,52398.03490137716,52398.807
3,423.934,7,52392.10279653482,52394.967000000004
4,423.785,2,52373.68855442005,52384.239
5,423.864,2,52383.4518103064,52390.322
6,423.844,0,52380.98009995542,52388.702000000005
7,423.994,2,52399.517927587745,52400.852000000006
8,424.113,1,52414.22460417605,52410.967000000004
9,424.223,0,52427.819011106425,52420.427
10,424.123,0,52415.46045935154,52411.827000000005
11,424.402,5,52449.94081874766,52435.821
12,424.422,3,52452.412529098634,52437.721000000005
13,424.427,2,52453.03045668638,52438.216
14,424.492,4,52461.06351532705,52444.781
15,424.631,4,52478.24190226633,52459.376000000004
16,424.661,1,52481.949467792794,52462.616
17,424.721,4,52489.36459884573,52469.096000000005
18,424.94,9,52516.42982718891,52493.405
19,425.06,9,52531.26008929477,52504.08500000001
20,424.96,4,52518.90153753989,52496.88500000001
21,424.925,3,52514.57604442568,52494.01500000001
22,424.791,7,52498.01558507414,52482.22300000001
23,424.93,9,52515.193972013425,52493.34300000001
24,425.06,5,52531.26008929477,52501.663000000015
25,424.96,10,52518.90153753989,52493.86300000001
26,424.985,3,52521.99117547861,52495.33800000002
27,425.139,6,52541.02334518113,52505.81000000001
28,425.169,3,52544.730910707585,52507.76000000001
29,425.07,8,52532.495944470254,52500.53300000001
30,425.219,8,52550.91018658503,52509.92000000001
31,425.249,2,52554.617752111495,52511.540000000015
32,425.441,4,52578.34617148086,52523.06000000001
33,425.737,7,52614.92748467531,52544.37200000002
34,425.857,2,52629.75774678117,52552.17200000002
35,425.976,3,52644.46442336948,52560.50200000002
36,425.896,7,52634.577581965576,52554.26200000002
37,425.827,0,52626.0501812547,52549.36300000002
38,425.757,7,52617.399195026286,52544.39300000002
39,425.448,9,52579.211270103704,52524.61700000001
40,425.606,0,52598.737781876414,52532.83300000001
41,425.578,8,52595.277387385046,52531.377000000015
42,425.802,2,52622.96054331599,52541.457000000024
43,425.827,4,52626.0501812547,52542.75700000002
44,425.767,5,52618.635050201774,52538.79700000002
45,425.717,4,52612.455774324335,52534.79700000002
46,425.627,7,52601.333077744945,52526.877000000015
47,425.687,9,52608.74820879787,52531.67700000001
48,425.677,1,52607.512353622384,52531.03700000002
49,425.787,6,52621.10676055275,52538.29700000002
50,425.717,7,52612.455774324335,52533.88700000002
51,425.717,6,52612.455774324335,52533.88700000002
52,425.807,4,52623.578470903725,52538.83700000002
53,425.895,5,52634.45399644802,52544.82100000002
54,425.946,10,52640.756857843015,52548.95200000002
55,425.911,2,52636.4313647288,52546.81700000001
56,425.887,0,52633.46531230763,52545.20900000002
57,425.827,9,52626.0501812547,52541.18900000001
58,425.926,9,52638.28514749203,52546.53500000002
59,426.046,1,52653.11540959789,52551.81500000002
60,426.046,9,52653.11540959789,52551.81500000002
61,425.961,5,52642.610640606246,52548.58500000001
62,426.036,7,52651.879554422405,52553.01000000001
63,426.016,10,52649.40784407143,52551.93000000001
64,426.026,5,52650.64369924692,52552.34000000001
65,425.926,9,52638.28514749203,52546.24000000001
66,425.827,9,52626.0501812547,52541.38900000001
67,425.647,8,52603.80478809592,52534.18900000001
68,425.697,8,52609.98406397336,52535.88900000001
69,425.618,7,52600.220808087004,52533.59800000001
70,425.428,10,52576.73955975273,52528.46800000001
71,425.468,2,52581.68298045469,52529.30800000001
72,425.657,4,52605.0406432714,52535.16700000001
73,425.538,6,52590.3339666831,52529.33600000001
74,425.732,7,52614.30955708757,52538.45400000001
75,425.568,1,52594.04153220956,52531.40200000001
76,425.657,2,52605.0406432714,52535.58500000001
77,425.568,5,52594.04153220956,52530.77900000001
78,425.578,4,52595.277387385046,52531.48900000001
79,425.309,5,52562.03288316442,52509.70000000001
80,425.428,10,52576.73955975273,52520.52900000001
81,425.388,7,52571.79613905078,52517.76900000001
82,425.219,5,52550.91018658503,52507.12200000001
83,425.219,3,52550.91018658503,52507.12200000002
84,425.279,9,52558.32531763796,52512.16200000001
