Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
128,1.0130000114440918,tensor([[7]]),10130.0,10130.0
129,1.0089999437332153,tensor([[3]]),10089.9990234375,10134.0
130,1.0110000371932983,tensor([[5]]),10110.0,10146.052734375
131,1.0119999647140503,tensor([[7]]),10120.0,10156.087890625
132,1.0149999856948853,tensor([[6]]),10150.0,10153.078125
133,1.0169999599456787,tensor([[5]]),10170.0,10152.078125
134,1.0169999599456787,tensor([[6]]),10170.0,10152.078125
135,1.0140000581741333,tensor([[5]]),10140.0009765625,10153.5751953125
136,1.0069999694824219,tensor([[1]]),10070.0,10083.4833984375
137,1.0080000162124634,tensor([[5]]),10080.0,10085.4853515625
138,1.003999948501587,tensor([[9]]),10039.9990234375,10045.46484375
139,1.0,tensor([[0]]),10000.0,10053.46875
140,1.0,tensor([[3]]),10000.0,10053.46875
141,1.0069999694824219,tensor([[3]]),10070.0,10095.6923828125
142,1.0130000114440918,tensor([[3]]),10130.0,10131.783203125
143,1.0160000324249268,tensor([[7]]),10160.0,10149.78515625
144,1.0069999694824219,tensor([[10]]),10070.0,10158.767578125
145,1.0099999904632568,tensor([[6]]),10100.0,10151.2021484375
146,1.0169999599456787,tensor([[9]]),10170.0,10147.6875
147,1.0089999437332153,tensor([[10]]),10089.9990234375,10163.6474609375
148,1.0099999904632568,tensor([[9]]),10100.0,10161.1298828125
149,1.0099999904632568,tensor([[3]]),10100.0,10161.1298828125
150,1.0089999437332153,tensor([[6]]),10089.9990234375,10155.09375
151,1.0169999599456787,tensor([[0]]),10170.0,10151.0703125
152,1.0210000276565552,tensor([[2]]),10210.0,10151.0703125
153,1.0230000019073486,tensor([[10]]),10230.0,10159.0224609375
154,1.0219999551773071,tensor([[2]]),10220.0,10161.50390625
155,1.0299999713897705,tensor([[8]]),10300.0,10193.3203125
156,1.0290000438690186,tensor([[1]]),10290.0,10194.8046875
157,1.0269999504089355,tensor([[4]]),10269.9990234375,10190.8427734375
158,1.0219999551773071,tensor([[8]]),10220.0,10151.15234375
159,1.0219999551773071,tensor([[7]]),10220.0,10151.15234375
160,1.027999997138977,tensor([[3]]),10280.0,10145.1943359375
161,1.0160000324249268,tensor([[8]]),10160.0,10074.142578125
162,1.0110000371932983,tensor([[10]]),10110.0,10081.5771484375
163,1.0130000114440918,tensor([[9]]),10130.0,10076.59375
164,1.0149999856948853,tensor([[7]]),10150.0,10072.615234375
165,1.0140000581741333,tensor([[9]]),10140.0009765625,10073.607421875
166,1.0130000114440918,tensor([[0]]),10130.0,10075.5927734375
167,1.0119999647140503,tensor([[6]]),10120.0,10075.5927734375
168,1.0049999952316284,tensor([[0]]),10050.0,10079.0712890625
169,1.0010000467300415,tensor([[0]]),10010.0,10079.0712890625
170,1.0080000162124634,tensor([[8]]),10080.0,10079.0712890625
171,0.9980000257492065,tensor([[3]]),9980.0,10094.0615234375
172,0.9959999918937683,tensor([[5]]),9960.0,10081.92578125
173,1.0019999742507935,tensor([[8]]),10020.0,10142.6572265625
174,1.003000020980835,tensor([[2]]),10030.0,10141.138671875
175,1.0049999952316284,tensor([[4]]),10050.0,10149.2265625
176,1.00600004196167,tensor([[8]]),10060.0,10157.3046875
177,1.0080000162124634,tensor([[7]]),10080.0,10154.2763671875
178,1.00600004196167,tensor([[8]]),10060.0,10156.291015625
179,1.0089999437332153,tensor([[4]]),10089.9990234375,10151.7490234375
