Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,45.374,tensor([[8]]),463740.0,463740.0
1,45.381,tensor([[9]]),463810.0,463729.269
2,45.374,tensor([[10]]),463740.0,463743.57
3,45.377,tensor([[3]]),463770.0,463735.905
4,45.379,tensor([[3]]),463790.0,463748.167
5,45.372,tensor([[6]]),463720.0,463705.25
6,45.354,tensor([[1]]),463540.0,463714.448
7,45.355,tensor([[6]]),463550.0,463716.492
8,45.362,tensor([[0]]),463620.0,463712.915
9,45.369,tensor([[7]]),463690.0,463712.915
10,45.385,tensor([[0]]),463850.0,463696.563
11,45.384,tensor([[8]]),463840.0,463696.563
12,45.385,tensor([[5]]),463850.0,463695.031
13,45.384,tensor([[6]]),463840.0,463684.81500000006
14,45.38,tensor([[8]]),463800.0,463686.855
15,45.372,tensor([[3]]),463720.0,463699.111
16,45.372,tensor([[9]]),463720.0,463699.111
17,45.373,tensor([[1]]),463730.0,463697.0680000001
18,45.374,tensor([[3]]),463740.0,463699.1110000001
19,45.375,tensor([[10]]),463750.0,463705.2420000001
20,45.374,tensor([[9]]),463740.0,463707.7960000001
21,45.381,tensor([[4]]),463810.0,463693.495
22,45.379,tensor([[10]]),463790.0,463677.147
23,45.379,tensor([[8]]),463790.0,463677.1469999999
24,45.387,tensor([[2]]),463870.0,463664.8909999999
25,45.381,tensor([[0]]),463810.0,463640.375
26,45.386,tensor([[10]]),463860.0,463640.375
27,45.381,tensor([[9]]),463810.0,463653.14
28,45.374,tensor([[6]]),463740.0,463667.44099999993
29,45.384,tensor([[7]]),463840.0,463662.3409999999
30,45.372,tensor([[3]]),463720.0,463674.593
31,45.381,tensor([[9]]),463810.0,463729.772
32,45.371,tensor([[0]]),463710.0,463750.20199999993
33,45.372,tensor([[8]]),463720.0,463750.20199999993
34,45.386,tensor([[2]]),463860.0,463728.7399999999
35,45.381,tensor([[3]]),463810.0,463708.3099999999
36,45.379,tensor([[10]]),463790.0,463696.0499999998
37,45.377,tensor([[3]]),463770.0,463701.1579999998
38,45.372,tensor([[3]]),463720.0,463670.5029999999
39,45.381,tensor([[2]]),463810.0,463725.6819999999
40,45.382,tensor([[9]]),463820.0,463729.7689999998
41,45.386,tensor([[5]]),463860.0,463721.59699999983
42,45.384,tensor([[5]]),463840.0,463701.1629999998
43,45.386,tensor([[0]]),463860.0,463721.5969999999
44,45.388,tensor([[6]]),463880.0,463721.5969999999
45,45.385,tensor([[10]]),463850.0,463723.1269999999
46,45.386,tensor([[3]]),463860.0,463720.5729999999
47,45.385,tensor([[2]]),463850.0,463714.4429999999
48,45.385,tensor([[10]]),463850.0,463714.4429999999
49,45.388,tensor([[10]]),463880.0,463706.7809999998
50,45.386,tensor([[8]]),463860.0,463711.8889999997
51,45.376,tensor([[10]]),463760.0,463727.2089999998
52,45.391,tensor([[0]]),463910.0,463688.8989999998
53,45.41,tensor([[6]]),464100.0,463688.8989999998
54,45.403,tensor([[8]]),464030.0,463692.4689999998
55,45.412,tensor([[0]]),464120.0,463678.6899999998
56,45.415,tensor([[1]]),464150.0,463678.6899999998
57,45.414,tensor([[7]]),464140.0,463676.6489999998
58,45.405,tensor([[4]]),464050.0,463685.8289999999
59,45.408,tensor([[10]]),464080.0,463710.33599999984
60,45.409,tensor([[9]]),464090.0,463707.7829999998
61,45.407,tensor([[3]]),464070.0,463711.8669999999
62,45.412,tensor([[5]]),464120.0,463742.5019999999
63,45.404,tensor([[7]]),464040.00000000006,463660.814
64,45.405,tensor([[8]]),464050.0,463659.793
65,45.396,tensor([[6]]),463960.0,463673.572
66,45.396,tensor([[7]]),463960.0,463673.572
67,45.403,tensor([[9]]),464030.0,463666.4250000001
68,45.412,tensor([[8]]),464120.0,463648.047
69,45.417,tensor([[0]]),464170.0,463640.392
70,45.415,tensor([[0]]),464150.0,463640.392
71,45.412,tensor([[0]]),464120.0,463640.392
72,45.405,tensor([[9]]),464050.0,463640.392
73,45.403,tensor([[1]]),464030.0,463644.476
74,45.405,tensor([[8]]),464050.0,463648.56000000006
75,45.403,tensor([[5]]),464030.0,463651.622
76,45.396,tensor([[2]]),463960.0,463580.145
77,45.362,tensor([[0]]),463620.0,463441.2890000001
78,45.337,tensor([[1]]),463370.00000000006,463441.2890000001
79,45.338,tensor([[1]]),463380.0,463443.333
80,45.367,tensor([[10]]),463670.0,463502.609
81,45.352,tensor([[2]]),463520.0,463540.91900000005
82,45.35,tensor([[1]]),463500.0,463532.743
83,45.369,tensor([[9]]),463690.0,463571.579
84,45.367,tensor([[7]]),463670.0,463575.665
85,45.353,tensor([[1]]),463530.0,463589.959
86,45.331,tensor([[1]]),463310.00000000006,463544.991
87,45.35,tensor([[10]]),463500.0,463583.846
88,45.35,tensor([[2]]),463500.0,463583.8459999999
89,45.357,tensor([[3]]),463570.0,463612.462
90,45.36,tensor([[8]]),463600.0,463630.858
91,45.364,tensor([[1]]),463640.0,463624.7259999999
92,45.369,tensor([[2]]),463690.0,463634.9459999999
93,45.372,tensor([[1]]),463720.0,463647.2069999999
94,45.374,tensor([[4]]),463740.0,463651.2929999999
95,45.357,tensor([[5]]),463570.0,463512.3349999999
96,45.353,tensor([[9]]),463530.0,463471.4589999999
97,45.357,tensor([[9]]),463570.0,463463.2869999999
98,45.364,tensor([[7]]),463640.0,463448.9859999999
99,45.364,tensor([[7]]),463640.0,463448.9859999999
100,45.351,tensor([[5]]),463510.0,463462.259
101,45.336,tensor([[6]]),463360.0,463308.97399999993
102,45.341,tensor([[5]]),463410.0,463306.424
103,45.343,tensor([[2]]),463430.00000000006,463326.8599999999
104,45.342,tensor([[9]]),463420.0,463322.7729999999
